"id","first_name","last_name","known_name","squad","total_points","avg_points","last_3_avg","last_5_avg","high_score","low_score","last_match_points","owned_by"
"120608","Everton","Bilher","Everton Luiz","RSL","85","3.54","2.67","3.6","8","1","1","0.11"
"94932","David","Bingham",,"LA","157","5.06","3.67","3.6","15","1","3","2.07"
"126206","Eric","Bird",,"HOU","0","0","1.67","2","0","0",,"0.02"
"129430","Steven","Birnbaum",,"DC","173","5.41","10","6.8","12","0","10","1.87"
"185317","Jose","Bizama",,"HOU","4","1.33","1.33","1.33","3","0",,"0.01"
"423123","Tristan","Blackmon",,"LAFC","66","4.4","1.33","3.4","11","1","2","0.38"
"163906","Andre","Blake",,"PHI","84","3.65","3.67","3.6","8","0","2","0.74"
"55820","Sebastian","Blanco",,"POR","154","5.7","5.33","4.2","13","2","10","0.77"
"245764","Latif","Blessing",,"LAFC","173","5.58","4.33","5.6","13","0","5","0.91"
"107978","Johan","Blomberg",,"COL","2","0.67","0.67","1","3","-2",,"0.02"
"168365","Emmanuel","Boateng",,"DC","53","2.21","1","1","9","1","1","0.6"
"82844","Corben","Bone",,"CIN","8","1.33","1.33","1.2","2","1",,"0.09"
"163484","Alex","Bono",,"TOR","22","3.67","2.33","3.6","9","2",,"0.32"
"41700","Jonathan","Bornstein",,"CHI","45","5","5.33","5","10","1","7","0.39"
"55110","Gustavo","Bou",,"NE","72","6.55","4.33","5.6","11","2","3","0.7"
"95330","Michael","Boxall",,"MIN","134","5.15","5.33","6.2","11","1","10","0.21"
"107941","Terrence","Boyd",,"TOR","13","1.18","1.67","1.6","3","0",,"0.03"
"37368","Michael","Bradley",,"TOR","153","6.12","5","5.8","12","3","4","0.88"
"248398","Zachary","Brault-Guillard",,"MTL","47","3.92","1","3","12","0",,"0.14"
"152589","Matheus","Bressanelli",,"DAL","76","4.47","3","2.4","15","1",,"0.88"
"424995","Shaft","Brewer Jr.",,"LAFC","4","4","2","1.75","4","4",,"0.02"
"121000","Frederic","Brillant",,"DC","200","6.25","12.67","9.2","14","0","14","1.06"
"244988","Brandt","Bronico",,"CHI","69","2.56","4.67","4","8","1","4","0.05"
"449235","Omar","Browne",,"MTL","38","3.8","1.67","2.8","8","0",,"0.04"
"95272","Will","Bruin",,"SEA","27","3","2.67","2","13","0",,"0.23"
"424622","Tajon","Buchanan",,"NE","22","2.2","1","1.8","6","1",,"0.12"
"234226","Rece","Buckmaster",,"NY","9","1.8","1.67","1.8","4","0",,"0.27"
"82524","Teal","Bunbury",,"NE","97","3.34","1.67","2","10","1","3","0.18"
"227123","Cory","Burke",,"PHI","23","3.29","5.33","3.6","8","1",,"0.04"
"109275","Evan","Bush",,"MTL","128","4","3","4.4","9","-2","4","0.84"
"427168","Gianluca","Busio",,"SKC","50","2.63","2","1.6","7","1","1","0.21"
"475715","Antonio","Bustamante",,"DC","0","0","0","0","0","0",,"0.06"
"243974","Handwalla","Bwana",,"SEA","30","2","1","1.8","6","1",,"0.04"
"442431","Brandon","Bye",,"NE","103","3.81","3.33","3.8","10","-4","8","0.37"
"149669","Juan David","Cabezas",,"HOU","28","1.87","3.67","2.6","7","0",,"0.03"
"179846","Victor","Cabrera",,"MTL","67","4.47","4.33","4.2","9","1",,"0.15"
"150276","Juan","Caicedo",,"NE","72","2.88","3","2.2","12","1","1","0.05"
